,year,school,course_type,course_name,gender,no_of_students
111,2017,School of Business & Accountancy,Part-time specialist diploma,Specialist Diploma in Consumer & Performance Analytics,Female,15.0
112,2017,School of Business & Accountancy,Part-time specialist diploma,Specialist Diploma in Consumer Banking,Male,3.0
113,2017,School of Business & Accountancy,Part-time skills-based module,Data Design & Analytics,Female,1.0
114,2017,School of Design & Environment,Part-time diploma,Diploma in Engineering (Building Services & Fire Safety),Male,180.0
115,2017,School of Design & Environment,Part-time diploma,Diploma in Engineering (Building Services & Fire Safety),Female,11.0
116,2017,School of Design & Environment,Part-time diploma conversion,Diploma (Conversion) in Facility Management,Male,43.0
117,2017,School of Design & Environment,Part-time diploma conversion,Diploma (Conversion) in Facility Management,Female,5.0
118,2017,School of Design & Environment,Part-time specialist diploma,Specialist Diploma in Sustainable Facilities Management,Male,11.0
119,2017,School of Design & Environment,Part-time specialist diploma,Specialist Diploma in Sustainable Facilities Management,Female,23.0
120,2017,School of Engineering (Electronic & Computer Engineering Division),Part-time diploma,Diploma in Engineering (Electronics),Male,40.0
121,2017,School of Engineering (Electronic & Computer Engineering Division),Part-time diploma,Diploma in Engineering (Electronics),Female,49.0
122,2017,School of Engineering (Electronic & Computer Engineering Division),Part-time specialist diploma,Specialist Diploma in IT Network Systems,Male,4.0
123,2017,School of Engineering (Electrical Engineering Division),Part-time diploma,Diploma in Engineering (Electrical),Male,170.0
124,2017,School of Engineering (Electrical Engineering Division),Part-time diploma,Diploma in Engineering (Electrical),Female,11.0
125,2017,School of Engineering (Electrical Engineering Division),Part-time specialist diploma,Specialist Diploma in Electrical Design & Operation,Male,19.0
126,2017,School of Engineering (Electrical Engineering Division),Part-time specialist diploma,Specialist Diploma in Electrical Design & Operation,Female,5.0
127,2017,School of Film & Media Studies,Part-time diploma conversion,Diploma (Conversion) in Digital Media Design,Male,9.0
128,2017,School of Film & Media Studies,Part-time diploma conversion,Diploma (Conversion) in Digital Media Design,Female,14.0
129,2017,School of Film & Media Studies,Part-time specialist diploma,Specialist Diploma in Digital Branding & Social Media Strategies,Male,3.0
130,2017,School of Film & Media Studies,Part-time specialist diploma,Specialist Diploma in Digital Branding & Social Media Strategies,Female,15.0
131,2017,School of Humanities & Social Sciences,Part-time diploma,Diploma in Early Childhood Care & Education - Teaching,Male,2.0
132,2017,School of Humanities & Social Sciences,Part-time diploma,Diploma in Early Childhood Care & Education - Teaching,Female,155.0
133,2017,School of Humanities & Social Sciences,Part-time advanced diploma,Advanced Diploma in Early Childhood Leadership,Male,2.0
134,2017,School of Humanities & Social Sciences,Part-time advanced diploma,Advanced Diploma in Early Childhood Leadership,Female,85.0
135,2017,School of Humanities & Social Sciences,Part-time advanced diploma,Advanced Diploma in Early Childhood Intervention (Special Needs),Male,10.0
136,2017,School of Humanities & Social Sciences,Part-time advanced diploma,Advanced Diploma in Early Childhood Intervention (Special Needs),Female,100.0
137,2017,School of Humanities & Social Sciences,Part-time specialist diploma,Specialist Diploma in Early Childhood Learning Support,Female,24.0
138,2017,School of Humanities & Social Sciences,Part-time skills-based module,Constructing a Meaningful Educational Setting,Female,12.0
139,2017,School of Humanities & Social Sciences,Part-time skills-based module,Professional Roles in Educational Support,Female,5.0
140,2017,School of Health Sciences,Part-time advanced diploma,Advanced Diploma in Perioperative Nursing,Male,1.0
141,2017,School of Health Sciences,Part-time advanced diploma,Advanced Diploma in Perioperative Nursing,Female,12.0
142,2017,School of Health Sciences,Part-time specialist diploma,Specialist Diploma in Palliative Care Nursing,Male,2.0
143,2017,School of Health Sciences,Part-time specialist diploma,Specialist Diploma in Palliative Care Nursing,Female,33.0
144,2017,School of InfoComm Technology,Part-time advanced diploma,Advanced Diploma in Enterprise Business Analytics,Male,30.0
145,2017,School of InfoComm Technology,Part-time advanced diploma,Advanced Diploma in Enterprise Business Analytics,Female,43.0
146,2017,School of Life Sciences & Chemical Technology,Part-time advanced diploma,Advanced Diploma in Medical and Pharmaceutical Technology,Male,16.0
147,2017,School of Life Sciences & Chemical Technology,Part-time advanced diploma,Advanced Diploma in Medical and Pharmaceutical Technology,Female,21.0
148,2017,School of Life Sciences & Chemical Technology,Part-time specialist diploma,Specialist Diploma in Veterinary Clinical Practice,Male,7.0
149,2017,School of Life Sciences & Chemical Technology,Part-time specialist diploma,Specialist Diploma in Veterinary Clinical Practice,Female,24.0
150,2017,School of Life Sciences & Chemical Technology,Part-time specialist diploma,Specialist Diploma in Analytical Science,Male,5.0
151,2017,School of Life Sciences & Chemical Technology,Part-time specialist diploma,Specialist Diploma in Analytical Science,Female,14.0
152,2017,School of Life Sciences & Chemical Technology,Part-time skills-based module,Downstream processing,Male,3.0
153,2017,School of Life Sciences & Chemical Technology,Part-time skills-based module,Upstream processing,Female,1.0
154,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Aerospace),Male,41.0
155,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Aerospace),Female,5.0
156,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Mechanical),Male,174.0
157,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Mechanical),Female,4.0
158,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Mechatronics),Male,56.0
159,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Mechatronics),Female,4.0
160,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Marine),Male,63.0
161,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma,Diploma in Engineering (Marine),Female,11.0
162,2017,School of Engineering (Mechanical Engineering Division),Part-time skills-based module,Industrial Drive Systems,Male,4.0
163,2017,School of Engineering (Mechanical Engineering Division),Part-time skills-based module,Power Hydraulics,Male,4.0
164,2017,School of Engineering (Mechanical Engineering Division),Part-time skills-based module,Fundamental of Offshore Oil & Gas Technology,Male,3.0
165,2017,School of Engineering (Mechanical Engineering Division),Part-time diploma conversion,Diploma (Conversion) in Marine & Offshore Technology,Male,12.0
